"GB_flag","Флаг хороший/ плохой (таргет)"
"MONTH_OVERDUE_C39","Максимальное количество просрочек по всем его кредитам за 40 месяцев до расчетной даты"
"MONTH_OVERDUE_C40","Максимальное количество просрочек по всем его кредитам за 41 месяцев до расчетной даты"
"MONTH_OVERDUE_C41","Максимальное количество просрочек по всем его кредитам за 42 месяцев до расчетной даты"
"MONTH_OVERDUE_C42","Максимальное количество просрочек по всем его кредитам за 43 месяцев до расчетной даты"
"MONTH_OVERDUE_C43","Максимальное количество просрочек по всем его кредитам за 44 месяцев до расчетной даты"
"MONTH_OVERDUE_C44","Максимальное количество просрочек по всем его кредитам за 45 месяцев до расчетной даты"
"MONTH_OVERDUE_C45","Максимальное количество просрочек по всем его кредитам за 46 месяцев до расчетной даты"
"MONTH_OVERDUE_C46","Максимальное количество просрочек по всем его кредитам за 47 месяцев до расчетной даты"
"MONTH_OVERDUE_C47","Максимальное количество просрочек по всем его кредитам за 48 месяцев до расчетной даты"
"MONTH_OVERDUE_C48","Максимальное количество просрочек по всем его кредитам за 49 месяцев до расчетной даты"
"MONTH_OVERDUE_C49","Максимальное количество просрочек по всем его кредитам за 50 месяцев до расчетной даты"
"MONTH_OVERDUE_C50","Максимальное количество просрочек по всем его кредитам за 51 месяцев до расчетной даты"
"MONTH_OVERDUE_C51","Максимальное количество просрочек по всем его кредитам за 52 месяцев до расчетной даты"
"MONTH_OVERDUE_C52","Максимальное количество просрочек по всем его кредитам за 53 месяцев до расчетной даты"
"MONTH_OVERDUE_C53","Максимальное количество просрочек по всем его кредитам за 54 месяцев до расчетной даты"
"MONTH_OVERDUE_C54","Максимальное количество просрочек по всем его кредитам за 55 месяцев до расчетной даты"
"MONTH_OVERDUE_C55","Максимальное количество просрочек по всем его кредитам за 56 месяцев до расчетной даты"
"MONTH_OVERDUE_C56","Максимальное количество просрочек по всем его кредитам за 57 месяцев до расчетной даты"
"MONTH_OVERDUE_C57","Максимальное количество просрочек по всем его кредитам за 58 месяцев до расчетной даты"
"MONTH_OVERDUE_C58","Максимальное количество просрочек по всем его кредитам за 59 месяцев до расчетной даты"
"MONTH_OVERDUE_C59","Максимальное количество просрочек по всем его кредитам за 60 месяцев до расчетной даты"
"MONTH_OVERDUE_A0","Максимальная сумма просрочек по всем его кредитам за 1 месяц до расчетной даты"
"MONTH_OVERDUE_A1","Максимальная сумма просрочек по всем его кредитам за 2 месяца до расчетной даты"
"MONTH_OVERDUE_A2","Максимальная сумма просрочек по всем его кредитам за 3 месяца до расчетной даты"
"MONTH_OVERDUE_A3","Максимальная сумма просрочек по всем его кредитам за 4 месяца до расчетной даты"
"MONTH_OVERDUE_A4","Максимальная сумма просрочек по всем его кредитам за 5 месяцев до расчетной даты"
"MONTH_OVERDUE_A5","Максимальная сумма просрочек по всем его кредитам за 6 месяцев до расчетной даты"
"MONTH_OVERDUE_A6","Максимальная сумма просрочек по всем его кредитам за 7 месяцев до расчетной даты"
"MONTH_OVERDUE_A7","Максимальная сумма просрочек по всем его кредитам за 8 месяцев до расчетной даты"
"MONTH_OVERDUE_A8","Максимальная сумма просрочек по всем его кредитам за 9 месяцев до расчетной даты"
"MONTH_OVERDUE_A9","Максимальная сумма просрочек по всем его кредитам за 10 месяцев до расчетной даты"
"MONTH_OVERDUE_A10","Максимальная сумма просрочек по всем его кредитам за 11 месяцев до расчетной даты"
"MONTH_OVERDUE_A11","Максимальная сумма просрочек по всем его кредитам за 12 месяцев до расчетной даты"
"MONTH_OVERDUE_A12","Максимальная сумма просрочек по всем его кредитам за 13 месяцев до расчетной даты"
"MONTH_OVERDUE_A13","Максимальная сумма просрочек по всем его кредитам за 14 месяцев до расчетной даты"
"MONTH_OVERDUE_A14","Максимальная сумма просрочек по всем его кредитам за 15 месяцев до расчетной даты"
"MONTH_OVERDUE_A15","Максимальная сумма просрочек по всем его кредитам за 16 месяцев до расчетной даты"
"MONTH_OVERDUE_A16","Максимальная сумма просрочек по всем его кредитам за 17 месяцев до расчетной даты"
"MONTH_OVERDUE_A17","Максимальная сумма просрочек по всем его кредитам за 18 месяцев до расчетной даты"
"MONTH_OVERDUE_A18","Максимальная сумма просрочек по всем его кредитам за 19 месяцев до расчетной даты"
"MONTH_OVERDUE_A19","Максимальная сумма просрочек по всем его кредитам за 20 месяцев до расчетной даты"
"MONTH_OVERDUE_A20","Максимальная сумма просрочек по всем его кредитам за 21 месяцев до расчетной даты"
"MONTH_OVERDUE_A21","Максимальная сумма просрочек по всем его кредитам за 22 месяцев до расчетной даты"
"MONTH_OVERDUE_A22","Максимальная сумма просрочек по всем его кредитам за 23 месяцев до расчетной даты"
"MONTH_OVERDUE_A23","Максимальная сумма просрочек по всем его кредитам за 24 месяцев до расчетной даты"
"MONTH_OVERDUE_A24","Максимальная сумма просрочек по всем его кредитам за 25 месяцев до расчетной даты"
"MONTH_OVERDUE_A25","Максимальная сумма просрочек по всем его кредитам за 26 месяцев до расчетной даты"
"MONTH_OVERDUE_A26","Максимальная сумма просрочек по всем его кредитам за 27 месяцев до расчетной даты"
"MONTH_OVERDUE_A27","Максимальная сумма просрочек по всем его кредитам за 28 месяцев до расчетной даты"
"MONTH_OVERDUE_A28","Максимальная сумма просрочек по всем его кредитам за 29 месяцев до расчетной даты"
"MONTH_OVERDUE_A29","Максимальная сумма просрочек по всем его кредитам за 30 месяцев до расчетной даты"
"MONTH_OVERDUE_A30","Максимальная сумма просрочек по всем его кредитам за 31 месяцев до расчетной даты"
"MONTH_OVERDUE_A31","Максимальная сумма просрочек по всем его кредитам за 32 месяцев до расчетной даты"
"MONTH_OVERDUE_A32","Максимальная сумма просрочек по всем его кредитам за 33 месяцев до расчетной даты"
"MONTH_OVERDUE_A33","Максимальная сумма просрочек по всем его кредитам за 34 месяцев до расчетной даты"
"MONTH_OVERDUE_A34","Максимальная сумма просрочек по всем его кредитам за 35 месяцев до расчетной даты"
"MONTH_OVERDUE_A35","Максимальная сумма просрочек по всем его кредитам за 36 месяцев до расчетной даты"
"MONTH_OVERDUE_A36","Максимальная сумма просрочек по всем его кредитам за 37 месяцев до расчетной даты"
"MONTH_OVERDUE_A37","Максимальная сумма просрочек по всем его кредитам за 38 месяцев до расчетной даты"
"MONTH_OVERDUE_A38","Максимальная сумма просрочек по всем его кредитам за 39 месяцев до расчетной даты"
"MONTH_OVERDUE_A39","Максимальная сумма просрочек по всем его кредитам за 40 месяцев до расчетной даты"
"MONTH_OVERDUE_A40","Максимальная сумма просрочек по всем его кредитам за 41 месяцев до расчетной даты"
"MONTH_OVERDUE_A41","Максимальная сумма просрочек по всем его кредитам за 42 месяцев до расчетной даты"
"MONTH_OVERDUE_A42","Максимальная сумма просрочек по всем его кредитам за 43 месяцев до расчетной даты"
"MONTH_OVERDUE_A43","Максимальная сумма просрочек по всем его кредитам за 44 месяцев до расчетной даты"
